ID,kind,mean_hue,mean_sat
che0000,che,15.0533432656961,150.72074946154717
che0001,che,15.492375237056088,145.42654508611955
che0002,che,14.61958534828686,144.43561580409508
che0003,che,14.981495151067785,149.7355359279151
che0004,che,15.184507320933914,145.3069103680253
che0005,che,14.87827440320919,139.52186588921282
che0006,che,14.928355613520267,140.1788501249864
che0007,che,16.69434742172161,134.97420688229823
che0008,che,15.657116331289403,136.38064599706365
che0009,che,14.149072356215214,142.51142857142858
che0010,che,15.693890995565267,136.44347323092742
che0011,che,14.62907641910722,145.81481934190583
che0012,che,14.476134910485934,138.68473465473147
che0013,che,14.581031787389266,139.9965858654831
che0014,che,15.01820659580267,136.508803488689
che0015,che,15.091889398623715,135.70352548120076
che0016,che,15.68678972607239,137.91821585758393
che0017,che,15.29310174919931,133.3319290465632
che0018,che,15.114396359541264,133.72790788536233
che0019,che,13.893902851084158,136.25331189485826
che0020,che,14.34146592664645,134.53916576071407
che0021,che,14.030508566178458,136.9895692590391
che0022,che,15.290679706957045,151.4022069115963
che0023,che,14.140604355272815,135.82678003425497
che0024,che,13.983985578880038,135.81672384718266
che0025,che,14.014319649815834,137.0058986814712
che0026,che,13.962403979996909,135.7846574212507
che0027,che,14.322097732181426,136.1267008639309
che0028,che,14.076757487390646,136.06072514736988
che0029,che,13.926778141281956,134.12835332606326
che0030,che,14.1969945170243,135.91511541325391
che0031,che,14.310560921925164,136.528438643469
che0032,che,13.702530042819651,135.21625074819283
che0033,che,13.956643838990985,147.84741587426714
che0034,che,13.748932313481,135.11934744098542
che0035,che,13.872998724240578,134.91160481340583
che0036,che,13.85667354443074,133.92989291436606
che0037,che,14.089174669521624,135.85928224327824
che0038,che,14.954254770500258,132.2529525528623
che0039,che,14.11636591418315,136.14526465415472
che0040,che,15.922192642787996,132.87029283639885
che0041,che,14.586770505220864,130.77862794216125
che0042,che,14.06832882943471,133.24751470390433
che0043,che,13.958085546191764,131.88723167435205
che0044,che,13.565237805408223,145.25093470133032
che0045,che,14.37784960506882,131.47747072800053
che0046,che,13.987495419567606,133.39439813118358
che0047,che,14.153203065388317,134.31698901900938
che0048,che,14.857514190817902,133.81073725603457
che0049,che,14.347991929285165,134.43766333589548
