ID,kind,mean_hue,mean_sat,mean_val
che0000,che,15.0533432656961,150.72074946154717,133.03899531991385
che0001,che,15.492375237056088,145.42654508611955,128.213389447432
che0002,che,14.61958534828686,144.43561580409508,128.91256816544913
che0003,che,14.981495151067785,149.7355359279151,128.92030442640058
che0004,che,15.184507320933914,145.3069103680253,127.19355955678671
che0005,che,14.87827440320919,139.52186588921282,126.85655099848748
che0006,che,14.928355613520267,140.1788501249864,126.97432887729595
che0007,che,16.69434742172161,134.97420688229823,128.1425648444766
che0008,che,15.657116331289403,136.38064599706365,128.68311166767424
che0009,che,14.149072356215214,142.51142857142858,130.26469387755103
che0010,che,15.693890995565267,136.44347323092742,128.05223664759947
che0011,che,14.62907641910722,145.81481934190583,135.98315650515818
che0012,che,14.476134910485934,138.68473465473147,128.00380434782608
che0013,che,14.581031787389266,139.9965858654831,129.18005067294388
che0014,che,15.01820659580267,136.508803488689,128.23233851185609
che0015,che,15.091889398623715,135.70352548120076,128.69877580532562
che0016,che,15.68678972607239,137.91821585758393,129.05859554621296
che0017,che,15.29310174919931,133.3319290465632,130.65864745011086
che0018,che,15.114396359541264,133.72790788536233,130.4100227528671
che0019,che,13.893902851084158,136.25331189485826,130.32206648257542
che0020,che,14.34146592664645,134.53916576071407,131.36335755564457
che0021,che,14.030508566178458,136.9895692590391,131.3076933470248
che0022,che,15.290679706957045,151.4022069115963,129.88038321002017
che0023,che,14.140604355272815,135.82678003425497,131.47202104232935
che0024,che,13.983985578880038,135.81672384718266,130.5411176367971
che0025,che,14.014319649815834,137.0058986814712,130.44898040890408
che0026,che,13.962403979996909,135.7846574212507,132.15381244522348
che0027,che,14.322097732181426,136.1267008639309,130.53910637149028
che0028,che,14.076757487390646,136.06072514736988,132.17708163852768
che0029,che,13.926778141281956,134.12835332606326,130.26516418272143
che0030,che,14.1969945170243,135.91511541325391,131.02560075813986
che0031,che,14.310560921925164,136.528438643469,130.1683747143518
che0032,che,13.702530042819651,135.21625074819283,128.13805884248814
che0033,che,13.956643838990985,147.84741587426714,127.3138559064558
che0034,che,13.748932313481,135.11934744098542,131.16189011411544
che0035,che,13.872998724240578,134.91160481340583,128.97096785316123
che0036,che,13.85667354443074,133.92989291436606,129.8497573570943
che0037,che,14.089174669521624,135.85928224327824,132.43420563383893
che0038,che,14.954254770500258,132.2529525528623,133.7785972150593
che0039,che,14.11636591418315,136.14526465415472,132.621461440239
che0040,che,15.922192642787996,132.87029283639885,131.64082768635043
