ID,kind,mean_hue,mean_sat,mean_val,edge_percent,fourth_LBP,get_eighth_element_LBP
che0000,che,15.0533432656961,150.72074946154717,133.03899531991385,14.1422810966624,10438,
che0001,che,15.492375237056088,145.42654508611955,128.213389447432,20.084171148000934,6599,
che0002,che,14.61958534828686,144.43561580409508,128.91256816544913,17.37318654182529,6709,
che0003,che,14.981495151067785,149.7355359279151,128.92030442640058,19.91243922926159,6798,
che0004,che,15.184507320933914,145.3069103680253,127.19355955678672,17.58260783537792,7029,
che0005,che,14.87827440320919,139.52186588921282,126.85655099848748,19.055656634297115,7853,
che0006,che,14.928355613520267,140.1788501249864,126.97432887729596,19.40441256385176,7669,
che0007,che,16.69434742172161,134.97420688229823,128.1425648444766,18.40859770590059,8330,
che0008,che,15.657116331289403,136.38064599706365,128.68311166767424,17.503670437861647,8150,
che0009,che,14.149072356215214,142.51142857142858,130.26469387755105,16.2430426716141,9337,
che0010,che,15.693890995565267,136.44347323092742,128.05223664759947,16.27675300469182,10866,
che0011,che,14.62907641910722,145.81481934190583,135.98315650515818,10.225883733437636,6691,
che0012,che,14.476134910485934,138.68473465473147,128.00380434782608,16.00383631713555,10793,
che0013,che,14.581031787389266,139.9965858654831,129.18005067294388,16.675351745700887,9635,
che0014,che,15.01820659580267,136.508803488689,128.23233851185609,18.24066503134369,12513,
che0015,che,15.091889398623715,135.70352548120076,128.69877580532562,16.231175825271766,14117,
che0016,che,15.68678972607239,137.91821585758393,129.05859554621296,15.443736451422192,10718,
che0017,che,15.29310174919931,133.3319290465632,130.65864745011086,16.146834195614684,13862,
che0018,che,15.114396359541264,133.72790788536233,130.4100227528671,17.169221576153156,15214,
che0019,che,13.893902851084158,136.25331189485826,130.32206648257542,18.86469292879863,14905,
che0020,che,14.34146592664645,134.53916576071407,131.36335755564457,18.51461921382388,14706,
che0021,che,14.030508566178458,136.9895692590391,131.3076933470248,20.416959411987246,12378,
che0022,che,15.290679706957045,151.4022069115963,129.88038321002017,12.75427657292443,9258,
che0023,che,14.140604355272815,135.82678003425497,131.47202104232937,17.80523611450942,14246,
che0024,che,13.983985578880038,135.81672384718266,130.5411176367971,19.335930685584696,14727,
che0025,che,14.014319649815834,137.0058986814712,130.44898040890408,20.82287941066567,12457,
che0026,che,13.962403979996909,135.7846574212507,132.15381244522348,18.692323555188946,13333,
che0027,che,14.322097732181426,136.1267008639309,130.53910637149028,20.298326133909285,12441,
che0028,che,14.076757487390646,136.06072514736988,132.17708163852768,18.92592082702344,13660,
che0029,che,13.926778141281956,134.12835332606326,130.26516418272143,19.65467102871683,13778,
che0030,che,14.1969945170243,135.91511541325391,131.02560075813986,18.463412983144927,12716,
che0031,che,14.310560921925164,136.528438643469,130.1683747143518,18.65019837653689,12180,
che0032,che,13.702530042819651,135.21625074819283,128.13805884248814,18.707122795708827,14851,
che0033,che,13.956643838990985,147.84741587426714,127.3138559064558,15.383225764070223,10470,
che0034,che,13.748932313481,135.11934744098542,131.16189011411544,20.79894535916837,12104,
che0035,che,13.872998724240578,134.91160481340583,128.97096785316123,19.23063661544473,14880,
che0036,che,13.85667354443074,133.92989291436606,129.8497573570943,16.9654075363388,14957,
che0037,che,14.089174669521624,135.85928224327824,132.43420563383893,18.59012988345108,13207,
che0038,che,14.954254770500258,132.2529525528623,133.7785972150593,18.336771531717385,13251,
che0039,che,14.11636591418315,136.14526465415472,132.621461440239,20.449562724359748,14079,
che0040,che,15.922192642787996,132.87029283639885,131.64082768635043,17.93562439496612,14008,
che0041,che,14.586770505220864,130.77862794216125,132.2953074232992,17.247451573699745,14023,
che0042,che,14.06832882943471,133.24751470390433,130.26086743864713,20.013206001393964,13955,
che0043,che,13.958085546191764,131.88723167435205,129.0663486510839,19.25584353633328,16247,
che0044,che,13.565237805408223,145.25093470133032,122.28272324145726,13.764020519954787,9925,
che0045,che,14.37784960506882,131.47747072800053,129.80797140227327,17.8682278399726,16243,
che0046,che,13.987495419567606,133.39439813118358,129.19622572370832,19.72906742396482,14894,
che0047,che,14.153203065388317,134.31698901900938,132.35993984230723,19.85977949551582,15412,
che0048,che,14.857514190817902,133.81073725603457,141.1017184497295,20.70470879664086,14965,
che0049,che,14.347991929285165,134.43766333589548,137.6508647194466,21.414296694850115,16990,
che0050,che,14.227385986497245,136.32154340836013,137.7698328181057,21.362475574073883,15922,
che0051,che,14.15915332943603,138.3360982120206,137.71398947728352,21.084038340631583,14996,
che0052,che,13.778903015966884,139.69767466418855,136.94416870828758,17.89410323561713,16558,
che0053,che,13.732079798676788,137.2557332467427,137.17713195600115,19.05061492876568,16680,
che0054,che,13.844502903339643,139.80295787751436,136.06011998331783,18.71718370707816,16036,
che0055,che,13.997468773264952,136.86586152700804,121.74269170320126,15.536438084208784,10658,
che0056,che,16.50925997901201,136.78426095067823,134.10702903338645,18.85129620272844,17025,
che0057,che,14.880259603142564,138.64866627332856,133.78419194899027,18.483785154592223,16483,
che0058,che,16.43266292786695,137.94941017211372,133.77737381550958,18.723651131309225,17387,
che0059,che,15.760403322852374,137.96809130080354,131.33104304957106,17.553666394938084,17693,
che0060,che,17.677867109573913,133.5968570620283,128.74667591418063,15.93736026063388,18779,
che0061,che,14.153939919838024,135.1637225734474,128.030577248874,16.776166274120904,16617,
che0062,che,15.015711373142484,134.39998318515248,128.98704205813735,15.228997204531602,16660,
che0063,che,14.133192124291782,136.81344755266645,127.81118333872432,16.615365352309603,16775,
che0064,che,14.50990105803406,137.36177628960766,132.4560524762937,17.934432078604658,12633,
che0065,che,13.830350145099452,136.97698532059565,128.06080408396704,14.073587663369272,16773,
che0066,che,14.279264496921307,140.43514446173626,119.84151498748224,13.74078083767508,10421,
che0067,che,13.725675371815877,135.31987408049855,127.56212992408425,13.46246506697504,16648,
che0068,che,14.602859630084549,133.13233242305353,129.75558391070513,12.247039603133906,14757,
che0069,che,15.224470510297529,132.082487383824,124.53767316797536,14.43602283576564,18061,
che0070,che,13.820421379161996,134.60454663813695,128.37199560733168,15.424152882971615,15734,
che0071,che,14.53349119714571,133.98670546010575,134.67783039904856,17.64712128612993,16481,
che0072,che,14.318331752772853,133.38185997608542,134.01726590524885,18.311136766585577,16852,
che0073,che,14.744638245820688,130.18240384179768,131.96820549993205,16.53513342092149,18981,
che0074,che,14.650399124950546,130.69857339011847,138.65382019595523,17.59524308222207,14655,
che0075,che,16.427254588986433,128.68243216280925,135.86798683160416,18.669193934557065,16918,
che0076,che,14.931644281864523,127.59489821318412,134.34352103377742,18.64197664476888,16012,
che0077,che,14.505588418182688,141.79004767295396,121.69525980962706,14.904574371402605,10964,
